#,State/UT,Confirmed Cases,Active Cases,Cured/Discharged,Death
1.0,Andaman and Nicobar Islands,10157,42,9986,129
2.0,Andhra Pradesh,2321379,755,2305893,14731
3.0,Arunachal Pradesh,64518,4,64218,296
4.0,Assam,724788,395,716405,7988
5.0,Bihar,832581,934,819388,12259
6.0,Chandigarh,93785,568,92052,1165
7.0,Chhattisgarh,1154179,861,1139282,14036
8.0,Dadra and Nagar Haveli and Daman and Diu,11474,14,11456,4
9.0,Delhi,1934009,4325,1903423,26261
10.0,Goa,248540,982,243720,3838
11.0,Gujarat,1231483,2914,1217623,10946
12.0,Haryana,1015501,2655,1002222,10624
13.0,Himachal Pradesh,286061,507,281413,4141
14.0,Jammu and Kashmir,455006,447,449803,4756
15.0,Jharkhand,435858,284,430254,5320
16.0,Karnataka,3968365,5707,3922541,40117
17.0,Kerala,6634722,28860,6535869,69993
18.0,Ladakh,28411,78,28105,228
19.0,Lakshadweep,11408,3,11353,52
20.0,Madhya Pradesh,1044243,490,1033012,10741
21.0,Maharashtra,7972474,25735,7798817,147922
22.0,Manipur,137266,18,135128,2120
23.0,Meghalaya,93947,65,92288,1594
24.0,Mizoram,229048,261,228084,703
25.0,Nagaland,35507,2,34744,761
26.0,Odisha,1289602,627,1279849,9126
27.0,Puducherry,166438,304,164172,1962
28.0,Punjab,762755,1079,743903,17773
29.0,Rajasthan,1288328,939,1277825,9564
30.0,Sikkim,39224,26,38744,454
31.0,Tamil Nadu,3473116,10033,3425057,38026
32.0,Telangana,800476,4421,791944,4111
33.0,Tripura,100901,7,99971,923
34.0,Uttar Pradesh,2090050,3541,2062971,23538
35.0,Uttarakhand,438663,787,430180,7696
36.0,West Bengal,2027901,5885,2000798,21218
,India,43452164,104555,42822493,525116
